Hostname,Crid,Asset,Price,Role,Product,Owner
app260,70028,AS-09301,$210.00,Ganglia,Ops,Techops
app259,70025,AS-09300,$210.00,Jenkins,Ops,Techops
app258,70022,AS-08923,$210.00,UDS MEMCACHED,Adserver,Techops
app257,70019,AS-08921,$210.00,LogDownload,AdServer,Techops
app256,70016,AS-08920,$210.00,GlamMovile,GlamMovile,Mobile
app255,70013,AS-08919,$210.00,Studio,Studio,Studio
app254,70010,AS-08918,$210.00,Studio,Studio,Studio
app251,70001,AS-08915,$210.00,Hadoop-Dev,Hadoop,Hadoop
app250,69998,AS-08914,$210.00,Hadoop-Dev,Hadoop,Hadoop
app249,69995,AS-08913,$210.00,AD_SERVER,AD_SERVER,Techops
app248,69992,AS-08912,$210.00,AD_SERVER,AD_SERVER,Techops
app247,69989,AS-08911,$210.00,AD_SERVER,AD_SERVER,Techops
app246,69986,AS-08910,$210.00,AD_SERVER,AD_SERVER,Techops
app245,69983,AS-08909,$210.00,AD_SERVER,AD_SERVER,Techops
app244,69980,AS-08908,$210.00,AD_SERVER,AD_SERVER,Techops
app243,69977,AS-08907,$210.00,NETACUITY,Adserver,Techops
app242,69974,AS-08906,$210.00,NETACUITY,Adserver,Techops
app241,69971,AS-08905,$210.00,FQM MEMCACHED,Adserver,Techops
app240,69968,AS-08904,$210.00,IVM MEMCACHED,Adserver,Techops
app239,69965,AS-08903,$210.00,AD_SERVER,AD_SERVER,Techops
app238,69962,AS-08902,$210.00,AD_SERVER,AD_SERVER,Techops
app237,69959,AS-08901,$210.00,AD_SERVER,AD_SERVER,Techops
app236,69956,AS-08897,$210.00,AD_SERVER,AD_SERVER,Techops
app235,69953,AS-08896,$210.00,AD_SERVER,AD_SERVER,Techops
app234,69950,AS-08895,$210.00,AD_SERVER,AD_SERVER,Techops
app233,73011,AS-08893,$210.00,AD_SERVER,AD_SERVER,Techops
app232,69944,AS-08891,$210.00,AD_SERVER,AD_SERVER,Techops
app231,69941,AS-08585,$210.00,AD_SERVER,AD_SERVER,Techops
app230,69938,AS-08888,$210.00,AD_SERVER,AD_SERVER,Techops
app229,69935,AS-08887,$210.00,AD_SERVER,AD_SERVER,Techops
app228,69932,AS-08886,$210.00,AD_SERVER,AD_SERVER,Techops
app227,69929,AS-08882,$210.00,AD_SERVER,AD_SERVER,Techops
app226,69926,AS-08881,$210.00,AD_SERVER,AD_SERVER,Techops
app225,69923,AS-08880,$210.00,AD_SERVER,AD_SERVER,Techops
app224,69920,AS-08900,$210.00,AD_SERVER,AD_SERVER,Techops
app223,69917,AS-08899,$210.00,AD_SERVER,AD_SERVER,Techops
app222,69914,AS-08898,$210.00,AD_SERVER,AD_SERVER,Techops
app221,69911,AS-08894,$210.00,AD_SERVER,AD_SERVER,Techops
app220,69908,AS-08892,$210.00,AD_SERVER,AD_SERVER,Techops
app219,69905,AS-08889,$210.00,Tools,NTS,NTS
app218,69901,AS-08885,$210.00,Jira,OPS,Techops
app217,69898,AS-08884,$210.00,Nagios,OPS,Techops
app216,69893,AS-08883,$210.00,Tableau,Tableau,Tableau
app215,69887,AS-08922,$210.00,Tableau,Tableau,Tableau
app214,67175,AS-05716,$125.00,GlamAdapt UI Server,ADE,ADE
app213,67173,AS-05754,$125.00,GlamAdapt UI Server,ADE,ADE
app212,67171,AS-05764,$125.00,GlamAdapt UI Server,ADE,ADE
app211,67169,AS-05628,$125.00,Log Download,GlamAdapt,GlamAdapt
app210,67167,AS-05485,$125.00,Log Download,GlamAdapt,GlamAdapt
app209,67165,AS-05793,$125.00,adportal,adportal,Techops
app208,67163,AS-05131,$125.00,adportal,adportal,Techops
app207,67161,AS-05186,$125.00,adportal,adportal,Techops
app206,67159,AS-05484,$125.00,adportal,adportal,Techops
app205,67157,AS-05482,$125.00,adportal,adportal,Techops
app204,66995,AS-07973,$210.00,SqlStream Server,Database,Techops
app203,66992,AS-07979,$210.00,AD_SERVER,AD_SERVER,Techops
app202,66989,AS-07981,$210.00,AD_SERVER,AD_SERVER,Techops
app201,66986,AS-07978,$210.00,Sortdb,ADServer,Techops
app200,66983,AS-07976,$210.00,AD_SERVER,AD_SERVER,Techops
